Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.7		FALSE	FALSE			[Requirement]			
S	name	1.7		TRUE	FALSE			[U3D]			
RH	array;dictionary	1.7		FALSE	FALSE		[]			[ArrayOfRequirementsHandlers];[RequirementsHandler]	
