Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Title	string-text	1.0		TRUE	FALSE					
Parent	dictionary	1.0		TRUE	TRUE					[OutlineItem,Outline]
Prev	dictionary	1.0		FALSE	TRUE					[OutlineItem]
Next	dictionary	1.0		FALSE	TRUE					[OutlineItem]
First	dictionary	1.0		FALSE	TRUE					[OutlineItem]
Last	dictionary	1.0		FALSE	TRUE					[OutlineItem]
Count	integer	1.0		FALSE	FALSE					
Dest	array;name;string-byte	1.0		FALSE	FALSE					[DestXYZ,Dest0,Dest1,Dest4];[];[]
A	dictionary	1.1		FALSE	FALSE					[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
SE	dictionary	1.3		FALSE	TRUE					[StructElem]
C 	array	1.4		FALSE	FALSE		[0.0 0.0 0.0]			[ArrayOf_3RGBNumbers]
F 	integer	1.4		FALSE	FALSE		0			
