Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE	Font				
Subtype	name	1.0		TRUE	FALSE	Type1				
Name	name	1.0	2.0	FALSE	FALSE					
BaseFont	name	1.0		TRUE	FALSE					
FirstChar	integer	1.0		TRUE	FALSE					
LastChar	integer	1.0		TRUE	FALSE					
Widths	array	1.0		TRUE	FALSE					[]
FontDescriptor	dictionary	1.0		TRUE	FALSE					[]
Encoding	dictionary;name	1.0		FALSE	FALSE					[];[]
ToUnicode	stream	1.2		FALSE	FALSE					[]
