Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.4		FALSE	FALSE	Group				
S	name	1.4		TRUE	FALSE			Transparency		
