Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.6		FALSE	FALSE	3DBG					
Subtype	name	1.6		FALSE	FALSE		SC	SC			
CS	array;name	1.6		FALSE	FALSE		DeviceRGB	DeviceRGB		[];[]	
C 	various	1.6		FALSE	FALSE						*
EA	boolean	1.6		FALSE	FALSE		FALSE				
