Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		FALSE	FALSE	Pattern				
PatternType	integer	1.3		TRUE	FALSE	2				
Shading	dictionary;stream	1.3		TRUE	FALSE					[ShadingType1,ShadingType2,ShadingType3];[ShadingType4,ShadingType5,ShadingType6,ShadingType7]
Matrix	array	1.3		FALSE	FALSE		[1 0 0 1 0 0]			[Matrix]
ExtGState	dictionary	1.3		FALSE	FALSE					[GraphicsStateParameter]
