Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.4	2.0	TRUE	FALSE	SlideShow					
Subtype	name	1.4	2.0	TRUE	FALSE	Embedded					
Resources	name tree	1.4	2.0	TRUE	FALSE					[]	
StartResource	string	1.4	2.0	TRUE	FALSE						byte string
