Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.7		FALSE	FALSE			[Requirement]		
S	name	1.7		TRUE	FALSE			[Attachment]		
V	dictionary;name	2.0		FALSE	FALSE					[Extensions];[]
RH	array;dictionary	1.7		FALSE	FALSE		[]			[ArrayOfRequirementsHandlers];[RequirementsHandler]
Penalty	integer	2.0		FALSE	FALSE		100	[<0,100>]		
