Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
S	name	1.2		TRUE	FALSE	ImportData				
F	dictionary;string	1.2		TRUE	FALSE					[FileSpecification];[]
