Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.7		FALSE	FALSE	ReqHandler				
S	name	1.7		TRUE	FALSE			[JS,NoOp]		
Script	string-text	1.7		FALSE	FALSE					
