Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.5		FALSE	FALSE		[TransformParams]			
Action	name	1.5		FALSE	FALSE		[All,Include,Exclude]			
Fields	array	1.5		FALSE	FALSE				[ArrayOfStringsText]	
V	name	1.5		TRUE	FALSE	1.2	[1.2]			
