Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.1		FALSE	FALSE		[Border]		
W	number	1.1		FALSE	FALSE	1			
S	name	1.1		FALSE	FALSE	S	[S,B,D,I,U]		
D	array	1.1		FALSE	FALSE	[3]			[ArrayOfDashPatterns]
