Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE			[Pages]		
Parent	dictionary	1.0		TRUE	TRUE					[PageTreeNode,PageTreeNodeRoot]
Kids	array	1.0		TRUE	FALSE					[ArrayOfPageTreeNodeKids]
Count	integer	1.0		TRUE	FALSE			[<0..)]		
