Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
O	name	1.3		TRUE	FALSE		[Table]		
RowSpan	integer	1.4		FALSE	FALSE	1		not inheritable	
ColSpan	integer	1.4		FALSE	FALSE	1		not inheritable	
Headers	array	1.4		FALSE	FALSE			not inheritable	[ArrayOfStringsByte]
Scope	name	1.4		FALSE	FALSE		[Row,Column,Both]	not inheritable	
