Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
N	dictionary;stream	1.2		TRUE	FALSE					[AppearanceSubDict];[XObjectFormType1]	*
R	dictionary;stream	1.2		FALSE	FALSE		@N			[AppearanceSubDict];[XObjectFormType1]	*
D	dictionary;stream	1.2		FALSE	FALSE		@N			[AppearanceSubDict];[XObjectFormType1]	*
