Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
O	name	1.3		TRUE	FALSE		[PrintField]		
Role	name	1.4		FALSE	FALSE		[rb,cb,pb,tv,lb]		
