Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		FALSE	FALSE		[FWParams]		
D	array	1.5		TRUE	FALSE			values shall be non-negative	[ArrayOf_2Integers]
RT	integer	1.5		FALSE	FALSE	0	[0,1,2,3]		
P	integer	1.5		FALSE	FALSE	4	[0,1,2,3,4,5,6,7,8]		
O	integer	1.5		FALSE	FALSE	1	[0,1,2]		
T	boolean	1.5		FALSE	FALSE	TRUE			
UC	boolean	1.5		FALSE	FALSE	TRUE			
R	integer	1.5		FALSE	FALSE	0	[0,1,2]		
TT	array	1.5		FALSE	FALSE			meaningful only if T is true	[ArrayOfMultiLangText]
