Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.2		TRUE	FALSE		[Font]		
Subtype	name	1.2		TRUE	FALSE		[CIDFontType0]		
BaseFont	name	1.2		TRUE	FALSE				
CIDSystemInfo	dictionary	1.2		TRUE	FALSE				[CIDSystemInfo]
FontDescriptor	dictionary	1.2		TRUE	TRUE				[FontDescriptorCIDType0]
DW	number	1.2		FALSE	FALSE	1000			
W	array	1.2		FALSE	FALSE	none			[_UniversalArray]
DW2	array	1.2		FALSE	FALSE	[888 -1000]			[ArrayOf_2Numbers]
W2	array	1.2		FALSE	FALSE	none			[_UniversalArray]
CIDToGIDMap	name;stream	1.2		FALSE	FALSE				[];[Stream]
ToUnicode	stream	1.2		FALSE	FALSE				[Stream]
