Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Solidities	dictionary	1,6		NEPRAVDA	NEPRAVDA					[]	*
PrintingOrder	array	1,6		NEPRAVDA	NEPRAVDA				IsRequired=>SoliditiesIsPresent	[]	
DotGain	dictionary	1,6		NEPRAVDA	NEPRAVDA					[]	*
