Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,6		NEPRAVDA	NEPRAVDA	NumberFormat				
U	string	1,6		PRAVDA	NEPRAVDA					
C	number	1,6		PRAVDA	NEPRAVDA					
F	name	1,6		NEPRAVDA	NEPRAVDA		D	D;F;R;T		
D	integer	1,6		NEPRAVDA	NEPRAVDA					
FD	boolean	1,6		NEPRAVDA	NEPRAVDA		16			
RT	string	1,6		NEPRAVDA	NEPRAVDA					
RD	string	1,6		NEPRAVDA	NEPRAVDA					
PS	string	1,6		NEPRAVDA	NEPRAVDA					
SS	string	1,6		NEPRAVDA	NEPRAVDA					
O	name	1,6		NEPRAVDA	NEPRAVDA		S	S;P		
