Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,1		NEPRAVDA	NEPRAVDA	Action				
S	name	1,1		PRAVDA	NEPRAVDA	URI				
Next	array;dictionary	1,2		NEPRAVDA	NEPRAVDA					[ArrayOfActions];[ActionGoTo,ActionGoToR,ActionGoToE,ActionGoToDp,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript,ActionRichMediaExecute]
URI	string	1,1		PRAVDA	NEPRAVDA					
IsMap	boolean	1,1		NEPRAVDA	NEPRAVDA		NEPRAVDA			
