Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.6		FALSE	FALSE	Requirement					
S	name	1.6		TRUE	FALSE	OCAutoStates					
V	dictionary;name	2.0		FALSE	FALSE					[Extensions];[]	
RH	array;dictionary	1.6		FALSE	FALSE		empty array			[];RequirementsHandler]	*
Penalty	integer	2.0		FALSE	FALSE		100	<0;100>			
