Key	Type	SinceVersion	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
A	name	1.6	FALSE	FALSE		XA	PO;PV;XA		
AIS	name	1.6	FALSE	FALSE		L	I;L		
D	name	1.6	FALSE	FALSE		PI	PC;PI;XD		
DIS	name	1.6	FALSE	FALSE		U	U;I;L		
TB	boolean	1.7	FALSE	FALSE		TRUE			
NP	boolean	1.7	FALSE	FALSE		FALSE			
Style	name	2.0	FALSE	FALSE		Embedded	Embedded;Windowed		
Window	dictionary	2.0	FALSE	FALSE					
Transparent	boolean	2.0	FALSE	FALSE		FALSE			
