Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1,6		NEPRAVDA	NEPRAVDA	Requirement					
S	name	1,6		PRAVDA	NEPRAVDA	Navigation					
V	dictionary;name	2,0		NEPRAVDA	NEPRAVDA					[Extensions];[]	
RH	array;dictionary	1,6		NEPRAVDA	NEPRAVDA		empty array			[ArrayOfRequirementsHandlers];[RequirementsHandler]	*
Penalty	integer	2,0		NEPRAVDA	NEPRAVDA		100	<0;100>			
