Key	Type	SinceVersion	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.6	FALSE	FALSE	3DView				
XN	string	1.6	TRUE	FALSE					
IN	string	1.6	FALSE	FALSE					
MS	name	1.6	FALSE	FALSE					
MA	array	2.0	FALSE	FALSE					
C2W	array	1.6	FALSE	FALSE					
U3DPath	string;array	1.6	FALSE	FALSE					
CO	number	1.6	FALSE	FALSE					
P	dictionary	1.6	FALSE	FALSE					
O	stream	1.6	FALSE	FALSE					
BG	dictionary	1.6	FALSE	FALSE					
RM	dictionary	1.7	FALSE	FALSE					
LS	dictionary	1.7	FALSE	FALSE					
SA	array	1.7	FALSE	FALSE					
NA	array	1.7	FALSE	FALSE					
NR	boolean	1.7	FALSE	FALSE					
