Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1,6		NEPRAVDA	NEPRAVDA	3DBG					
Subtype	name	1,6		NEPRAVDA	NEPRAVDA		SC	SC			
CS	array;name	1,6		NEPRAVDA	NEPRAVDA		DeviceRGB	DeviceRGB		[];[]	
C 	various	1,6		NEPRAVDA	NEPRAVDA						*
EA	boolean	1,6		NEPRAVDA	NEPRAVDA		NEPRAVDA				
