Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		FALSE	FALSE	MediaDuration				
S	name	1.5		TRUE	FALSE			I;F;T		
T	dictionary	1.5		FALSE	FALSE				Required=TRUE=>S=T	
