Key	Type	SinceVersion	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.7	FALSE	FALSE	3DCrossSection				
C	array	1.7	FALSE	FALSE					
O	array	1.7	TRUE	FALSE					
PO	number	1.7	FALSE	FALSE					
PC	array	1.7	FALSE	FALSE					
IV	boolean	1.7	FALSE	FALSE					
IC	array	1.7	FALSE	FALSE					
ST	boolean	1.7	FALSE	FALSE					
SC	boolean	1.7	FALSE	FALSE					
