Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2,0		NEPRAVDA	NEPRAVDA	Measure				
Subtype	name	2,0		NEPRAVDA	NEPRAVDA	GEO				
Bounds	array	2,0		NEPRAVDA	NEPRAVDA					[]
GCS	dictionary	2,0		PRAVDA	NEPRAVDA					[GeographicCoordinateSystem]
DCS	dictionary	2,0		NEPRAVDA	NEPRAVDA					[GeographicCoordinateSystem]
PDU	array	2,0		NEPRAVDA	NEPRAVDA					[]
GPTS	array	2,0		PRAVDA	NEPRAVDA					[]
LPTS	array	2,0		NEPRAVDA	NEPRAVDA					[]
PCSM	array	2,0		NEPRAVDA	NEPRAVDA					[]
