Key	Type	Since version	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.4	TRUE	FALSE	Metadata				
Subtype	name	1.4	TRUE	FALSE	XML				
