Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2,0		NEPRAVDA	NEPRAVDA	RichMediaActivation				
Condition	name	2,0		NEPRAVDA	NEPRAVDA		XA	XA;PO;PV		
Animation	dictionary	2,0		NEPRAVDA	NEPRAVDA					[RichMediaAnimation]
View	dictionary	2,0		NEPRAVDA	NEPRAVDA					[3DView]
Configuration	dictionary	2,0		NEPRAVDA	NEPRAVDA					[RichMediaConfiguration]
Presentation	dictionary	2,0		NEPRAVDA	NEPRAVDA					[RichMediaPresentation]
