Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
R	number	1,1		PRAVDA	NEPRAVDA			2,3,4,5,6		
O	string	1,1		PRAVDA	NEPRAVDA					
U	string	1,1		PRAVDA	NEPRAVDA					
OE	string	1,1		NEPRAVDA	NEPRAVDA				IsR=6=>Required=TRUE	
UE	string	1,1		NEPRAVDA	NEPRAVDA				IsR=6=>Required=TRUE	
P	integer	1,1		PRAVDA	NEPRAVDA			1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32		
Perms	string	1,1		NEPRAVDA	NEPRAVDA				IsR=6=>Required=TRUE	
EncryptMetadata	boolean	1,1		NEPRAVDA	NEPRAVDA		PRAVDA			
Filter	name	1,1		PRAVDA	NEPRAVDA					
SubFilter	name	1,3		NEPRAVDA	NEPRAVDA					
V	number	1,4		PRAVDA	NEPRAVDA			0,1,2,3,4,5		
Length	integer	1,1	2,0	NEPRAVDA	NEPRAVDA		40	<40;128> value*8		
CF	dictionary	1,1		NEPRAVDA	NEPRAVDA					[CryptFilter]
StmF	name	1,1		NEPRAVDA	NEPRAVDA		Identity			
StrF	name	1,1		NEPRAVDA	NEPRAVDA		Identity			
EFF	name	1,1		NEPRAVDA	NEPRAVDA					
