Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,6		NEPRAVDA	NEPRAVDA	3DRenderMode				
Subtype	name	1,6		PRAVDA	NEPRAVDA			Solid;SolidWireframe;Transparent;TransparentWireframe;BoundingBox;TransparentBoundingBox;TransparentBoundingBoxOutline;Wireframe;ShadedWireframe;Vertices;ShadedVertices;Illustration;SolidOutline;ShadedIllustration		
AC	array	1,6		NEPRAVDA	NEPRAVDA		[/DeviceRGB 0 0 0]			[]
FC	array;name	1,6		NEPRAVDA	NEPRAVDA		BG			[];[]
O	number	1,6		NEPRAVDA	NEPRAVDA		0,5			
CV	number	1,6		NEPRAVDA	NEPRAVDA		45			
