Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.0		TRUE	FALSE	Pages					
Parent	dictionary	1.0		TRUE	TRUE					PageTree	Ako sa rozhodnem tu?
Kids	array	1.0		TRUE	FALSE					PageTreeKidsDecision	
Count	integer	1.0		TRUE	FALSE						
