Key	Type	SinceVersion	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Fields	array	1.2	TRUE	FALSE					
NeedAppearances	boolean	1.2	FALSE	FALSE		FALSE			
SigFlags	integer	1.3	FALSE	FALSE		0			
CO	array	1.3	FALSE	FALSE					
DR	dictionary	1.2	FALSE	FALSE					
DA	string	1.2	FALSE	FALSE					
Q	integer	1.2	FALSE	FALSE					
XFA	stream;array	1.5	FALSE	FALSE					
