Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1,2	2,0	NEPRAVDA	NEPRAVDA	OPI				
Version	number	1,2	2,0	PRAVDA	NEPRAVDA	1,3				
F	dictionary;string	1,2	2,0	PRAVDA	NEPRAVDA					[FileSpecification];[]
ID	string	1,2	2,0	NEPRAVDA	NEPRAVDA					
Comments	string	1,2	2,0	NEPRAVDA	NEPRAVDA					
Size	array	1,2	2,0	NEPRAVDA	NEPRAVDA					[]
CropRect	rectangle	1,2	2,0	NEPRAVDA	NEPRAVDA					
CropFixed	array	1,2	2,0	NEPRAVDA	NEPRAVDA					[]
Position	array	1,2	2,0	NEPRAVDA	NEPRAVDA					[]
Resolution	array	1,2	2,0	NEPRAVDA	NEPRAVDA					[]
ColorType	name	1,2	2,0	NEPRAVDA	NEPRAVDA					
Color	array	1,2	2,0	NEPRAVDA	NEPRAVDA					
Tint	number	1,2	2,0	NEPRAVDA	NEPRAVDA					
Overprint	boolean	1,2	2,0	NEPRAVDA	NEPRAVDA					
ImageType	array	1,2	2,0	NEPRAVDA	NEPRAVDA					
GrapMap	array	1,2	2,0	NEPRAVDA	NEPRAVDA					
Transparency	boolean	1,2	2,0	NEPRAVDA	NEPRAVDA					
Tags	array	1,2	2,0	NEPRAVDA	NEPRAVDA					
