Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
0	name	1.2		TRUE	FALSE		[Separation]			
1	name	1.2		TRUE	FALSE					
2	array;name	1.2		TRUE	FALSE		[];[DeviceCMYK,DeviceRGB,DeviceGray]		[CalGrayColorSpace,CalRGBColorSpace,LabColorSpace,ICCBasedColorSpace];[]	cannot be Pattern, Indexed,Separation,DeviceN
3	dictionary;stream	1.2		TRUE	FALSE				[FunctionType2,FunctionType3];[FunctionType0,FunctionType4]	
