Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	note
Type	name	1.0	2.0	FALSE	FALSE			[XObject]			
Subtype	name	1.0	2.0	TRUE	FALSE			[Form]			
FormType	integer	1.0	2.0	FALSE	FALSE			[1]			
BBox	rectangle	1.0	2.0	TRUE	FALSE						
Matrix	array	1.0	2.0	FALSE	FALSE		[1 0 0 1 0 0]			[Matrix]	
Resources	dictionary	1.2	2.0	FALSE	FALSE					[Resource]	
PieceInfo	dictionary	1.3	2.0	FALSE	FALSE					[PagePiece]	
LastModified	date	1.3	2.0	FALSE	FALSE				IsRequired=>PieceInfoIsPresent		
StructParent	integer	1.3	2.0	FALSE	FALSE						
StructParents	integer	1.3	2.0	FALSE	FALSE						
OPI	dictionary	1.2	2.0	FALSE	FALSE					[OPIVersion13,OPIVersion20]	
Name	name	1.0	2.0	FALSE	FALSE						
Length	integer	1.3	2.0	TRUE	FALSE						* from stream
Filter	array;name	1.3	2.0	FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3	2.0	FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.3	2.0	FALSE	FALSE					[FileSpecification];[]	
FFilter	array;name	1.3	2.0	FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3	2.0	FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
PCM	name	1.0	2.0	FALSE	FALSE						*from trapnet appearance
SeparationColorNames	array	1.0	2.0	FALSE	FALSE					[]	
TrapRegions	array	1.0	2.0	FALSE	FALSE					[]	
TrapStyles	string-text	1.0	2.0	FALSE	FALSE						
