Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Length1	integer	1.1		TRUE	FALSE					
Length2	integer	1.1		FALSE	FALSE					
Length3	integer	1.1		FALSE	FALSE					
Subtype	name	1.1		FALSE	FALSE					
