Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		FALSE	FALSE		[Encoding]			
BaseEncoding	name	1.0		FALSE	FALSE		[MacRomanEncoding,MacExpertEncoding,WinAnsiEncoding]			
Differences	array	1.0		FALSE	FALSE			should not be used with TrueType fonts	[ArrayOfDifferences]	
