Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.1		FALSE	FALSE		[Action]			
S	name	1.1		TRUE	FALSE		[GoToR]			
F	dictionary;string	1.1		TRUE	FALSE				[FileSpecification];[]	
D	array;name;string-byte	1.1		TRUE	FALSE				[DestXYZ,Dest0,Dest1,Dest4];[];[]	*must be a pagenumber not Page Object
