Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.1		FALSE	FALSE		[Action]		
S	name	1.1		TRUE	FALSE		[URI]		
URI	string-ascii	1.1		TRUE	FALSE				
IsMap	boolean	1.1		FALSE	FALSE	FALSE			
