Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2.0		TRUE	FALSE		[ExData]		
Subtype	name	2.0		TRUE	FALSE		[3DM]		
M3DREF	dictionary	2.0		TRUE	FALSE				[AnnotProjection]
