Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	
N	string-text	1.6		TRUE	FALSE					
V	boolean;dictionary;integer;name;stream;string	1.6		TRUE	FALSE				[];[];[];[];[Stream];[]	*any
F	string-text	1.6		FALSE	FALSE					
H	boolean	1.6		FALSE	FALSE	FALSE				
