Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	2.0		FALSE	FALSE		[RichMediaConfiguration]		
Subtype	name	2.0		FALSE	FALSE		[3D,Sound,Video]		
Name	string-text	2.0		FALSE	FALSE				
Instances	array	2.0		FALSE	FALSE				[RichMediaInstances]
