Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.7		FALSE	FALSE			[3DLightningScheme]		
Subtype	name	1.7		TRUE	FALSE			[Artwork,None,White,Day,Night,Hard,Primary,Blue,Red,Cube,CAD,Headlamp]		
