Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	
ColorSpace	array;name	1.6		TRUE	FALSE		[];[DeviceCMYK,DeviceRGB,DeviceGray]		[CalGrayColorSpace,CalRGBColorSpace,ICCBasedColorSpace];[]	except Lab
Components	array	1.6		TRUE	FALSE				[ArrayOfNamesGeneral]	
